"","found_taxa","worms_name","verbatim_name","gbif_name","ncbi_name","ncbi_commonname","gbif_usagekey","ncbi_uid","gbif_status","worms_aphiaid","worms_status","freshwater_only","kingdom","phylum","class","order","family","genus","compare_name","in_region"
"71","Salvelinus boganidae","Salvelinus boganidae","Salvelinus boganidae","Salvelinus boganidae","Salvelinus boganidae","Boganida char",2351294,152106,"accepted",1016234,"accepted",1,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus boganidae","no"
"72","Salvelinus confluentus","Salvelinus confluentus","Salvelinus confluentus","Salvelinus confluentus","Salvelinus confluentus","bull trout",2351244,8037,"accepted",274352,"accepted",0,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus confluentus","yes"
"73","Salvelinus namaycush","Salvelinus namaycush","Salvelinus namaycush","Salvelinus namaycush","Salvelinus namaycush","lake trout",2351327,8040,"accepted",567548,"accepted",1,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus namaycush","no"
"74","Salvelinus malma miyabei",NA,"Salvelinus malma miyabei","Salvelinus malma miyabei","Salvelinus malma miyabei",NA,6169576,423371,"synonym",NA,NA,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus malma miyabei","no"
"75","Salvelinus malma lordi",NA,"Salvelinus malma lordi",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus malma lordi",NA
"76","Salvelinus sp. 4 ADK-2017",NA,"Salvelinus sp. 4 ADK-2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus sp. 4 ADK-2017",NA
"77","Oncorhynchus nerka","Oncorhynchus nerka","Oncorhynchus nerka","Oncorhynchus nerka","Oncorhynchus nerka","sockeye salmon",5204039,8023,"accepted",254569,"accepted",0,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus nerka","yes"
"78","Brachymystax lenok tsinlingensis",NA,"Brachymystax lenok tsinlingensis","Brachymystax lenok tsinlingensis","Brachymystax lenok tsinlingensis","Tsinling lenok trout",6169590,1115630,"synonym",NA,NA,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Brachymystax","Brachymystax lenok tsinlingensis","no"
"79","Oncorhynchus clarkii henshawi",NA,"Oncorhynchus clarkii henshawi","Oncorhynchus clarkii henshawi","Oncorhynchus clarkii henshawi","Lahontan cutthroat trout",5711984,72053,"synonym",NA,NA,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii henshawi","no"
"80","Oncorhynchus mykiss gairdneri",NA,"Oncorhynchus mykiss gairdneri",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss gairdneri",NA
