verbatim_species,accepted_name_usage,taxonomic_status,species,subspecies,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id,region
Coryphaenoides yaquinae,Coryphaenoides yaquinae,accepted,Coryphaenoides yaquinae,NA,species,Actinopteri,Gadiformes,Macrouridae,Coryphaenoides,TRUE,FALSE,FALSE,272358,272358,125572,83387,California Current
Micropogonias ectenes,Micropogonias ectenes,accepted,Micropogonias ectenes,NA,species,Actinopteri,Eupercaria incertae sedis,Sciaenidae,Micropogonias,TRUE,TRUE,FALSE,275305,275305,717186,1249490,California Current
Chaunacops coloratus,Chaunacops coloratus,accepted,Chaunacops coloratus,NA,species,Actinopteri,Lophiiformes,Chaunacidae,Chaunacops,TRUE,FALSE,FALSE,280133,280133,509710,1197887,California Current
Nematistius pectoralis,Nematistius pectoralis,accepted,Nematistius pectoralis,NA,species,Actinopteri,Carangiformes,Nematistiidae,Nematistius,TRUE,FALSE,FALSE,281664,281664,68568,173244,California Current
Bathyraja parmifera,Bathyraja parmifera,accepted,Bathyraja parmifera,NA,species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,271528,271528,81029,341249,California Current
Echinorhinus cookei,Echinorhinus cookei,accepted,Echinorhinus cookei,NA,species,Elasmobranchii,Echinorhiniformes,Echinorhinidae,Echinorhinus,TRUE,FALSE,FALSE,271656,271656,72431,7834,California Current
Scorpaenodes xyris,Scorpaenodes xyris,accepted,Scorpaenodes xyris,NA,species,Actinopteri,Perciformes,Scorpaenidae,Scorpaenodes,TRUE,FALSE,FALSE,274756,274756,125531,320400,California Current
Sebastes lentiginosus,Sebastes lentiginosus,accepted,Sebastes lentiginosus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274811,274811,483225,72082,California Current
Anchoa ischana,Anchoa ischana,accepted,Anchoa ischana,NA,species,Actinopteri,Clupeiformes,Engraulidae,Anchoa,TRUE,FALSE,FALSE,275520,275520,364649,1249487,California Current
Lucania parva,Lucania parva,accepted,Lucania parva,NA,species,Actinopteri,Cyprinodontiformes,Fundulidae,Lucania,TRUE,TRUE,TRUE,159310,159310,94784,722640,California Current
Stemonosudis elegans,Stemonosudis elegans,accepted,Stemonosudis elegans,NA,species,Actinopteri,Aulopiformes,Paralepididae,Stemonosudis,TRUE,FALSE,FALSE,220335,220335,NA,NA,California Current
Synodus sechurae,Synodus sechurae,accepted,Synodus sechurae,NA,species,Actinopteri,Aulopiformes,Synodontidae,Synodus,TRUE,FALSE,FALSE,272140,272140,364653,NA,California Current
